experiment,condition,seed,model,train_size,test_bleu,test_chrf,test_chrfpp,test_ter,training_time_seconds,actual_epochs,test_n_samples
ablations/additive,ADD-M1M2,123,facebook/nllb-200-distilled-600M,1292,10.187555215482448,23.320358603430726,21.571766416069085,95.20481927710843,2330.4683961868286,,1455
ablations/additive,ADD-M1M2,42,facebook/nllb-200-distilled-600M,1292,10.586949390266637,23.616877453046907,21.85808676646138,89.93975903614458,2404.4840474128723,,1455
ablations/additive,ADD-M1M2,456,facebook/nllb-200-distilled-600M,1292,10.213750565891578,23.11160854352477,21.36048195228516,100.44578313253012,2405.031192779541,,1455
ablations/additive,ADD-M1M2M3,123,facebook/nllb-200-distilled-600M,1944,12.801712902851516,24.927784178672162,23.226098690684374,91.43373493975903,3580.3388142585754,,1455
ablations/additive,ADD-M1M2M3,42,facebook/nllb-200-distilled-600M,1944,8.000791321849519,22.30821541321896,21.023536742692986,141.65060240963857,2264.9678769111633,,1455
ablations/additive,ADD-M1M2M3,456,facebook/nllb-200-distilled-600M,1944,12.9015688607542,24.921801390547706,23.381039780995007,90.80722891566265,2791.667211532593,,1455
ablations/additive,ADD-M1M2M3M4,123,facebook/nllb-200-distilled-600M,2597,10.940698257651425,26.037646422571665,24.580437397660756,146.7710843373494,3192.6172046661377,,1455
ablations/additive,ADD-M1M2M3M4,42,facebook/nllb-200-distilled-600M,2597,17.67225802173868,27.638048855247003,26.297965057678134,87.1566265060241,3251.640281677246,,1455
ablations/additive,ADD-M1M2M3M4,456,facebook/nllb-200-distilled-600M,2597,14.910874920616191,27.38192680227388,26.253590402710753,100.54216867469879,1807.4305818080902,,1455
ablations/minimal_pairs,PAIRS-BROKEN,123,facebook/nllb-200-distilled-600M,3397,5.082207067346545,13.082148316852097,12.440574250914707,101.01204819277108,3486.662109851837,,1455
ablations/minimal_pairs,PAIRS-BROKEN,42,facebook/nllb-200-distilled-600M,3397,4.839297110507714,13.084340214475532,12.268833338358892,103.21686746987953,3627.8647887706757,,1455
ablations/minimal_pairs,PAIRS-BROKEN,456,facebook/nllb-200-distilled-600M,3397,5.136731426269986,13.788057794116362,13.166885707971765,113.51807228915662,1692.5690398216248,,1455
ablations/minimal_pairs,PAIRS-INTACT,123,facebook/nllb-200-distilled-600M,3410,21.98606725226228,29.118924212523527,28.731378147765664,81.73493975903614,4248.235586881638,,1455
ablations/minimal_pairs,PAIRS-INTACT,42,facebook/nllb-200-distilled-600M,3410,21.675622000808385,29.23131623235871,28.80525365919247,85.59036144578313,3366.8391087055206,,1455
ablations/minimal_pairs,PAIRS-INTACT,456,facebook/nllb-200-distilled-600M,3410,21.08242007338709,29.145310016444082,28.73277829184976,86.02409638554217,2991.5999155044556,,1455
ablations/module_loo,BASE-ONLY,123,facebook/nllb-200-distilled-600M,760,7.9470983771950205,22.95814613089854,21.053311298582457,99.13253012048193,1253.4627368450165,,1455
ablations/module_loo,BASE-ONLY,42,facebook/nllb-200-distilled-600M,760,7.119938390119428,22.363053109377447,20.551404237873257,103.09638554216866,1304.9184458255768,,1455
ablations/module_loo,BASE-ONLY,456,facebook/nllb-200-distilled-600M,760,7.9594651103366,22.611138992534393,20.66104978310445,95.46987951807229,1266.0618789196014,,1455
ablations/module_loo,FULL,123,facebook/nllb-200-distilled-600M,3410,21.98606725226228,29.118924212523527,28.731378147765664,81.73493975903614,4198.938385486603,,1455
ablations/module_loo,FULL,42,facebook/nllb-200-distilled-600M,3410,21.675622000808385,29.23131623235871,28.80525365919247,85.59036144578313,3352.023186445236,,1455
ablations/module_loo,FULL,456,facebook/nllb-200-distilled-600M,3410,21.08242007338709,29.145310016444082,28.73277829184976,86.02409638554217,3030.8836572170258,,1455
ablations/module_loo,NO-FUTURE,123,facebook/nllb-200-distilled-600M,2692,14.670511641134825,27.554244374739632,26.73985318300885,96.08433734939759,1558.2264947891235,,1455
ablations/module_loo,NO-FUTURE,42,facebook/nllb-200-distilled-600M,2692,16.94110217401085,27.477662575962825,26.81911695120851,91.40963855421687,2318.717402458191,,1455
ablations/module_loo,NO-FUTURE,456,facebook/nllb-200-distilled-600M,2692,17.78374562179585,27.609592125089332,27.031410072542894,82.72289156626506,2706.8444426059723,,1455
ablations/module_loo,NO-NEGATION,123,facebook/nllb-200-distilled-600M,2713,19.446047839453865,27.699257948018957,26.98333687903013,83.54216867469879,4543.657452583313,,1455
ablations/module_loo,NO-NEGATION,42,facebook/nllb-200-distilled-600M,2713,16.472230282914214,27.421618893468025,26.682886434954796,103.46987951807229,3955.213850259781,,1455
