experiment,condition,seed,model,train_size,test_bleu,test_chrf,test_chrfpp,test_ter,training_time_seconds,actual_epochs,test_n_samples
ablations/additive,ADD-M1M2,123,facebook/nllb-200-distilled-600M,1292,10.187555215482448,23.320358603430726,21.571766416069085,95.20481927710843,2330.4683961868286,,1455
ablations/additive,ADD-M1M2,42,facebook/nllb-200-distilled-600M,1292,10.586949390266637,23.616877453046907,21.85808676646138,89.93975903614458,2404.4840474128723,,1455
ablations/additive,ADD-M1M2,456,facebook/nllb-200-distilled-600M,1292,10.213750565891578,23.11160854352477,21.36048195228516,100.44578313253012,2405.031192779541,,1455
ablations/additive,ADD-M1M2M3,123,facebook/nllb-200-distilled-600M,1944,12.801712902851516,24.927784178672162,23.226098690684374,91.43373493975903,3580.3388142585754,,1455
ablations/additive,ADD-M1M2M3,42,facebook/nllb-200-distilled-600M,1944,8.000791321849519,22.30821541321896,21.023536742692986,141.65060240963857,2264.9678769111633,,1455
ablations/additive,ADD-M1M2M3,456,facebook/nllb-200-distilled-600M,1944,12.9015688607542,24.921801390547706,23.381039780995007,90.80722891566265,2791.667211532593,,1455
ablations/additive,ADD-M1M2M3M4,123,facebook/nllb-200-distilled-600M,2597,10.940698257651425,26.037646422571665,24.580437397660756,146.7710843373494,3192.6172046661377,,1455
ablations/additive,ADD-M1M2M3M4,42,facebook/nllb-200-distilled-600M,2597,17.67225802173868,27.638048855247003,26.297965057678134,87.1566265060241,3251.640281677246,,1455
ablations/additive,ADD-M1M2M3M4,456,facebook/nllb-200-distilled-600M,2597,14.910874920616191,27.38192680227388,26.253590402710753,100.54216867469879,1807.4305818080902,,1455
ablations/minimal_pairs,PAIRS-BROKEN,123,facebook/nllb-200-distilled-600M,3823,6.205653591811094,14.415907590355125,13.755229249965058,104.30120481927712,2175.8326506614685,,1455
ablations/minimal_pairs,PAIRS-BROKEN,42,facebook/nllb-200-distilled-600M,3823,4.978637490210117,13.386230767208238,12.649881034649729,102.73493975903614,2257.98987698555,,1455
ablations/minimal_pairs,PAIRS-BROKEN,456,facebook/nllb-200-distilled-600M,3823,4.928846408426486,14.19965332580546,13.44367307673197,110.04819277108433,1740.1822664737701,,1455
ablations/minimal_pairs,PAIRS-INTACT,123,facebook/nllb-200-distilled-600M,3823,22.66868646820363,30.3735153431997,30.07769343933102,81.16867469879519,2628.469030380249,,1455
ablations/minimal_pairs,PAIRS-INTACT,42,facebook/nllb-200-distilled-600M,3823,22.81655045594304,29.774560607033585,29.35995944271972,77.9277108433735,3545.3534927368164,,1455
ablations/minimal_pairs,PAIRS-INTACT,456,facebook/nllb-200-distilled-600M,3823,23.21481320589791,30.014424917721893,29.72099388645148,78.53012048192771,5469.531029462814,,1455
ablations/module_loo,BASE-ONLY,123,facebook/nllb-200-distilled-600M,815,8.327895041544524,22.945430306544488,21.099297559648488,90.78313253012048,1395.634684562683,,1455
ablations/module_loo,BASE-ONLY,456,facebook/nllb-200-distilled-600M,815,7.746193940874832,22.893518281007232,21.044946857482707,101.27710843373494,1386.1242926120758,,1455
ablations/module_loo,FULL,123,facebook/nllb-200-distilled-600M,3823,22.66868646820363,30.3735153431997,30.07769343933102,81.16867469879519,2725.2939627170563,,1455
ablations/module_loo,FULL,42,facebook/nllb-200-distilled-600M,3823,22.81655045594304,29.774560607033585,29.35995944271972,77.9277108433735,3620.899951696396,,1455
ablations/module_loo,FULL,456,facebook/nllb-200-distilled-600M,3823,23.21481320589791,30.014424917721893,29.72099388645148,78.53012048192771,5446.8915803432465,,1455
ablations/module_loo,NO-FUTURE,123,facebook/nllb-200-distilled-600M,3009,16.139415446612585,27.136446079824207,26.354096353091787,98.87951807228916,3468.203784227371,,1455
ablations/module_loo,NO-FUTURE,42,facebook/nllb-200-distilled-600M,3009,17.178885279422452,27.849956423005096,27.105102107444363,89.32530120481927,1809.8177106380463,,1455
ablations/module_loo,NO-FUTURE,456,facebook/nllb-200-distilled-600M,3009,18.520317724714538,27.509365255499567,26.93558476796461,83.87951807228916,3651.657815694809,,1455
ablations/module_loo,NO-NEGATION,123,facebook/nllb-200-distilled-600M,3024,18.917311622660357,28.53499164599652,27.801524728803816,91.2289156626506,2880.777527809143,,1455
ablations/module_loo,NO-NEGATION,42,facebook/nllb-200-distilled-600M,3024,19.274070193136744,28.462039141929885,27.924639788424454,87.26506024096385,3820.2139508724213,,1455
ablations/module_loo,NO-NEGATION,456,facebook/nllb-200-distilled-600M,3024,19.905484661093073,28.168765802625366,27.44776843106484,82.86746987951807,4352.85927438736,,1455
