experiment,condition,contaminated_bleu,contaminated_chrfpp,contaminated_seeds,clean_bleu,clean_chrfpp,clean_seeds,delta_bleu
ablations/additive,ADD-M1M2,10.3,21.6,3,10.3,21.6,3,+0.0
ablations/additive,ADD-M1M2M3,11.2,22.5,3,11.2,22.5,3,+0.0
ablations/additive,ADD-M1M2M3M4,14.5,25.7,3,14.5,25.7,3,+0.0
ablations/minimal_pairs,PAIRS-BROKEN,5.4,13.3,3,5.0,12.6,3,-0.4
ablations/minimal_pairs,PAIRS-INTACT,22.9,29.7,3,21.6,28.8,3,-1.3
ablations/module_loo,BASE-ONLY,8.0,21.1,2,7.7,20.8,3,-0.4
ablations/module_loo,FULL,22.9,29.7,3,21.6,28.8,3,-1.3
ablations/module_loo,NO-FUTURE,17.3,26.8,3,16.5,26.9,3,-0.8
ablations/module_loo,NO-NEGATION,19.4,27.7,3,18.4,27.1,3,-0.9
ablations/module_loo,NO-PAST,20.1,27.8,3,18.2,27.4,3,-1.9
ablations/module_loo,NO-QUESTIONS,19.1,27.0,3,17.9,26.4,3,-1.2
ablations/module_size_ctrl,BASE-1K,7.9,20.5,2,7.3,20.2,3,-0.6
ablations/module_size_ctrl,FULL-1K,21.1,29.4,2,19.8,28.4,3,-1.3
ablations/module_size_ctrl,NO-FUT-1K,17.4,26.8,2,16.5,26.5,3,-0.9
ablations/module_size_ctrl,NO-NEG-1K,17.9,27.8,3,15.5,26.6,3,-2.4
ablations/module_size_ctrl,NO-PAST-1K,19.0,28.0,3,16.6,26.5,3,-2.4
ablations/module_size_ctrl,NO-QUEST-1K,18.9,27.3,2,16.0,26.0,3,-2.9
ablations/pronoun,ALL-8,22.9,29.7,3,21.6,28.8,3,-1.3
ablations/pronoun,MINIMAL-1,15.9,26.4,3,6.5,20.1,3,-9.3
ablations/pronoun,REDUCED-4,19.5,28.7,3,20.8,29.1,3,+1.3
ablations/pronoun,SINGULAR-3,18.6,28.4,3,20.0,28.2,3,+1.4
ablations/verb,1-VERB,2.8,12.5,3,3.1,13.4,3,+0.3
ablations/verb,10-VERBS,22.9,29.7,3,21.6,28.8,3,-1.3
ablations/verb,3-VERBS-a,3.9,12.8,3,3.7,14.4,3,-0.2
ablations/verb,3-VERBS-b,5.9,14.8,3,5.3,14.3,3,-0.6
ablations/verb,3-VERBS-c,5.7,14.1,3,4.7,14.5,3,-1.1
ablations/verb,5-VERBS-a,8.7,17.2,3,7.6,17.4,3,-1.1
ablations/verb,5-VERBS-b,8.0,17.1,3,8.8,17.8,3,+0.8
ablations/verb,5-VERBS-c,7.7,15.9,3,6.6,15.7,3,-1.1
baselines,LENGTH-STRATIFIED,23.7,36.9,5,19.6,34.0,5,-4.1
baselines,STRUCT4K-ALL-BASELINES,41.1,54.1,5,41.1,54.1,5,+0.0
baselines,STRUCT4K-LENGTH2K,33.6,45.4,5,33.6,45.4,5,+0.0
baselines,STRUCT4K-TFIDF2K,29.0,42.8,5,20.6,34.6,5,-8.4
baselines,STRUCT4K-VOCAB2K,35.1,46.9,5,35.1,46.9,5,+0.0
baselines,TF-IDF-DIVERSE,19.1,34.2,5,2.8,22.6,5,-16.3
baselines,VOCAB-MAXIMIZED,24.0,38.0,5,24.0,38.0,5,+0.0
exp1,RANDOM-10K,4.1,27.6,5,4.1,27.6,5,+0.0
exp1,RANDOM-10K_STRUCTURED-4K,22.5,39.3,5,22.5,39.3,5,+0.0
exp1,RANDOM-4K,3.7,25.7,5,3.7,25.7,5,+0.0
exp1,RANDOM-6K_STRUCTURED-4K,21.4,38.6,5,21.4,38.6,5,+0.0
exp1,STRUCTURED-2K,19.9,28.8,5,19.9,28.8,5,+0.0
exp1,STRUCTURED-4K-ONLY,19.5,28.5,5,19.5,28.5,5,+0.0
exp2,RANDOM-1000,2.6,20.0,5,2.6,20.0,5,+0.0
exp2,RANDOM-10000,4.1,27.6,5,4.1,27.6,5,+0.0
exp2,RANDOM-200,0.5,11.8,5,0.5,11.8,5,+0.0
exp2,RANDOM-2000,3.0,23.1,5,3.0,23.1,5,+0.0
exp2,RANDOM-4000,3.7,25.7,5,3.7,25.7,5,+0.0
exp2,RANDOM-500,1.7,16.9,5,1.7,16.9,5,+0.0
exp2,RANDOM-6000,4.0,26.8,5,4.0,26.8,5,+0.0
exp2,RANDOM-6K_STRUCTURED-1000,18.7,37.1,5,18.7,37.1,5,+0.0
exp2,RANDOM-6K_STRUCTURED-2000,21.8,39.1,5,21.8,39.1,5,+0.0
exp2,RANDOM-6K_STRUCTURED-4000,21.6,38.7,4,21.6,38.7,4,+0.0
exp2,RANDOM-6K_STRUCTURED-500,15.9,35.5,5,15.9,35.5,5,+0.0
exp2,RANDOM-8000,4.1,27.6,5,4.1,27.6,5,+0.0
exp2,REPLACE-R6000_S4000,21.4,38.6,5,21.4,38.6,5,+0.0
exp2,REPLACE-R8000_S2000,22.4,39.6,5,22.4,39.6,5,+0.0
exp2,REPLACE-R9000_S1000,19.4,37.8,5,19.4,37.8,5,+0.0
exp2,REPLACE-R9500_S500,15.8,36.0,5,15.8,36.0,5,+0.0
exp2,STRUCTURED-1000,18.8,28.4,5,18.8,28.4,5,+0.0
exp2,STRUCTURED-200,9.4,22.2,5,9.4,22.2,5,+0.0
exp2,STRUCTURED-2000,19.9,28.8,5,19.9,28.8,5,+0.0
exp2,STRUCTURED-3000,21.1,29.1,4,21.1,29.1,4,+0.0
exp2,STRUCTURED-4000,19.5,28.5,5,19.5,28.5,5,+0.0
exp2,STRUCTURED-500,15.1,26.0,5,15.1,26.0,5,+0.0
