corpus,side,n,mean,median,stdev,min,max,p95,p99,n_over_128,pct_over_128
exp1/RANDOM-10K/train,src,7200,12.47,12,4.42,4,92,20,27,0,0.0
exp1/RANDOM-10K/train,tgt,7200,13.23,12,5.1,3,113,22,29,0,0.0
exp1/RANDOM-10K_STRUCTURED-4K/train,src,10316,11.28,10,4.17,3,92,19,25,0,0.0
exp1/RANDOM-10K_STRUCTURED-4K/train,tgt,10316,11.91,11,4.8,3,113,21,27,0,0.0
exp1/RANDOM-4K/train,src,3600,12.35,11,4.24,4,53,20,26,0,0.0
exp1/RANDOM-4K/train,tgt,3600,13.15,12,4.95,4,55,22,30,0,0.0
exp1/RANDOM-6K_STRUCTURED-4K/train,src,8516,11.03,10,4.14,3,92,18,25,0,0.0
exp1/RANDOM-6K_STRUCTURED-4K/train,tgt,8516,11.66,11,4.76,4,113,20,27,0,0.0
exp1/STRUCTURED-2K/train,src,1800,8.81,8,2.07,3,16,13,15,0,0.0
exp1/STRUCTURED-2K/train,tgt,1800,8.98,9,2.13,4,20,13,15,0,0.0
exp1/STRUCTURED-4K-ONLY/train,src,3116,8.68,8,2.0,3,16,13,14,0,0.0
exp1/STRUCTURED-4K-ONLY/train,tgt,3116,8.99,9,2.19,4,20,13,16,0,0.0
shared/random_train,src,8000,12.43,12,4.37,4,92,20,27,0,0.0
shared/random_train,tgt,8000,13.19,12,5.05,3,113,22,29,0,0.0
shared/structured_train,src,3462,8.67,8,2.0,3,16,13,14,0,0.0
shared/structured_train,tgt,3462,8.99,9,2.17,4,20,13,16,0,0.0
