model,condition,subset,n_samples,n_seeds,bleu_mean,bleu_std,chrf_mean,chrf_std,chrfpp_mean,chrfpp_std
nllb-600m,RANDOM-10K,combined,1455,5,3.89,0.22,29.53,0.79,26.57,0.55
nllb-600m,RANDOM-10K,structured,455,5,3.58,1.09,33.8,1.64,30.12,1.3
nllb-600m,RANDOM-10K,tatoeba,1000,5,3.96,0.33,28.43,0.95,25.64,0.75
nllb-600m,STRUCTURED-2K,combined,1455,5,20.43,1.07,29.3,0.17,28.91,0.22
nllb-600m,STRUCTURED-2K,structured,455,5,91.11,0.94,95.05,0.51,94.79,0.56
nllb-600m,STRUCTURED-2K,tatoeba,1000,5,0.56,0.05,12.88,0.28,12.03,0.33
nllb-600m,STRUCTURED-4K-ONLY,combined,1455,5,17.62,2.67,28.37,0.71,27.89,0.69
nllb-600m,STRUCTURED-4K-ONLY,structured,455,5,89.54,6.56,95.6,0.78,95.5,0.66
nllb-600m,STRUCTURED-4K-ONLY,tatoeba,1000,5,0.42,0.07,12.06,0.43,11.08,0.4
nllb-600m,RANDOM-4K,combined,1455,5,3.64,0.2,28.67,0.25,25.64,0.26
nllb-600m,RANDOM-4K,structured,455,5,3.94,0.29,33.96,0.35,29.93,0.27
nllb-600m,RANDOM-4K,tatoeba,1000,5,3.53,0.2,27.35,0.28,24.55,0.28
nllb-600m,RANDOM-6K_STRUCTURED-4K,combined,1455,5,22.44,1.15,41.13,0.34,39.19,0.35
nllb-600m,RANDOM-6K_STRUCTURED-4K,structured,455,5,90.66,3.46,95.03,1.5,94.8,1.59
nllb-600m,RANDOM-6K_STRUCTURED-4K,tatoeba,1000,5,3.94,0.15,28.27,0.1,25.42,0.03
nllb-600m,RANDOM-10K_STRUCTURED-4K,combined,1455,5,23.05,1.2,41.59,1.31,39.55,1.17
nllb-600m,RANDOM-10K_STRUCTURED-4K,structured,455,5,90.57,3.23,94.69,1.89,94.39,1.99
nllb-600m,RANDOM-10K_STRUCTURED-4K,tatoeba,1000,5,4.0,0.52,28.87,1.11,25.91,0.91
mbart-fr,RANDOM-10K,combined,1455,5,3.03,0.41,26.5,0.39,23.61,0.42
mbart-fr,RANDOM-10K,structured,455,5,3.7,1.02,33.22,0.59,28.87,0.61
mbart-fr,RANDOM-10K,tatoeba,1000,5,2.81,0.34,24.77,0.43,22.25,0.49
mbart-fr,STRUCTURED-2K,combined,1455,5,19.99,0.31,26.25,0.38,25.74,0.32
mbart-fr,STRUCTURED-2K,structured,455,5,85.71,0.97,91.38,0.75,91.05,0.78
mbart-fr,STRUCTURED-2K,tatoeba,1000,5,0.27,0.04,8.74,0.37,7.74,0.29
mbart-fr,STRUCTURED-4K-ONLY,combined,1455,5,20.42,0.59,26.43,0.29,25.95,0.3
mbart-fr,STRUCTURED-4K-ONLY,structured,455,5,87.53,2.14,92.44,1.04,92.21,1.19
mbart-fr,STRUCTURED-4K-ONLY,tatoeba,1000,5,0.29,0.07,8.66,0.46,7.66,0.35
mbart-fr,RANDOM-4K,combined,1455,5,2.06,0.21,23.02,0.32,20.46,0.35
mbart-fr,RANDOM-4K,structured,455,5,2.06,0.64,27.86,0.62,24.3,0.57
mbart-fr,RANDOM-4K,tatoeba,1000,5,2.01,0.11,21.78,0.34,19.47,0.41
mbart-fr,RANDOM-6K_STRUCTURED-4K,combined,1455,5,20.99,0.34,36.96,0.26,35.28,0.16
mbart-fr,RANDOM-6K_STRUCTURED-4K,structured,455,5,84.02,1.92,90.85,1.21,90.19,1.23
mbart-fr,RANDOM-6K_STRUCTURED-4K,tatoeba,1000,5,2.57,0.21,23.77,0.4,21.39,0.31
mbart-fr,RANDOM-10K_STRUCTURED-4K,combined,1455,5,21.52,0.44,37.95,0.29,36.24,0.34
mbart-fr,RANDOM-10K_STRUCTURED-4K,structured,455,5,84.68,1.93,91.15,1.28,90.73,1.28
mbart-fr,RANDOM-10K_STRUCTURED-4K,tatoeba,1000,5,2.99,0.3,24.95,0.16,22.45,0.23
nllb-1.3b,STRUCTURED-2K,combined,1455,1,21.36,0.0,29.06,0.0,28.43,0.0
nllb-1.3b,STRUCTURED-2K,structured,455,1,91.44,0.0,95.85,0.0,95.65,0.0
nllb-1.3b,STRUCTURED-2K,tatoeba,1000,1,0.5,0.0,11.6,0.0,10.43,0.0
