model,run,condition,seed,subset,n_samples,bleu,chrf,chrfpp,ref_mode,alt_ref_rows_used,source_file
mbart-fr,baselines,LENGTH-STRATIFIED,123,combined,1455,1.08,19.19,17.24,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/baselines/LENGTH-STRATIFIED/seed123/test_predictions.jsonl
mbart-fr,baselines,LENGTH-STRATIFIED,123,structured,455,1.33,21.12,18.84,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/baselines/LENGTH-STRATIFIED/seed123/test_predictions.jsonl
mbart-fr,baselines,LENGTH-STRATIFIED,123,tatoeba,1000,1.0,18.67,16.8,multi,0,experiments/results/rebuttal_repaired_20260502/mbart-fr/baselines/LENGTH-STRATIFIED/seed123/test_predictions.jsonl
mbart-fr,baselines,LENGTH-STRATIFIED,2024,combined,1455,1.66,20.24,18.25,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/baselines/LENGTH-STRATIFIED/seed2024/test_predictions.jsonl
mbart-fr,baselines,LENGTH-STRATIFIED,2024,structured,455,2.69,22.71,20.28,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/baselines/LENGTH-STRATIFIED/seed2024/test_predictions.jsonl
mbart-fr,baselines,LENGTH-STRATIFIED,2024,tatoeba,1000,1.35,19.58,17.7,multi,0,experiments/results/rebuttal_repaired_20260502/mbart-fr/baselines/LENGTH-STRATIFIED/seed2024/test_predictions.jsonl
mbart-fr,baselines,LENGTH-STRATIFIED,42,combined,1455,1.78,19.61,17.68,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/baselines/LENGTH-STRATIFIED/seed42/test_predictions.jsonl
mbart-fr,baselines,LENGTH-STRATIFIED,42,structured,455,2.79,22.56,20.24,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/baselines/LENGTH-STRATIFIED/seed42/test_predictions.jsonl
mbart-fr,baselines,LENGTH-STRATIFIED,42,tatoeba,1000,1.48,18.82,16.99,multi,0,experiments/results/rebuttal_repaired_20260502/mbart-fr/baselines/LENGTH-STRATIFIED/seed42/test_predictions.jsonl
mbart-fr,baselines,LENGTH-STRATIFIED,456,combined,1455,1.78,19.66,17.74,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/baselines/LENGTH-STRATIFIED/seed456/test_predictions.jsonl
mbart-fr,baselines,LENGTH-STRATIFIED,456,structured,455,1.63,21.74,19.36,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/baselines/LENGTH-STRATIFIED/seed456/test_predictions.jsonl
mbart-fr,baselines,LENGTH-STRATIFIED,456,tatoeba,1000,1.79,19.08,17.29,multi,0,experiments/results/rebuttal_repaired_20260502/mbart-fr/baselines/LENGTH-STRATIFIED/seed456/test_predictions.jsonl
mbart-fr,baselines,LENGTH-STRATIFIED,789,combined,1455,1.88,20.0,17.92,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/baselines/LENGTH-STRATIFIED/seed789/test_predictions.jsonl
mbart-fr,baselines,LENGTH-STRATIFIED,789,structured,455,2.64,22.38,19.86,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/baselines/LENGTH-STRATIFIED/seed789/test_predictions.jsonl
mbart-fr,baselines,LENGTH-STRATIFIED,789,tatoeba,1000,1.58,19.35,17.39,multi,0,experiments/results/rebuttal_repaired_20260502/mbart-fr/baselines/LENGTH-STRATIFIED/seed789/test_predictions.jsonl
mbart-fr,baselines,TF-IDF-DIVERSE,123,combined,1455,1.48,18.96,17.04,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/baselines/TF-IDF-DIVERSE/seed123/test_predictions.jsonl
mbart-fr,baselines,TF-IDF-DIVERSE,123,structured,455,2.67,21.62,19.25,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/baselines/TF-IDF-DIVERSE/seed123/test_predictions.jsonl
mbart-fr,baselines,TF-IDF-DIVERSE,123,tatoeba,1000,1.06,18.24,16.44,multi,0,experiments/results/rebuttal_repaired_20260502/mbart-fr/baselines/TF-IDF-DIVERSE/seed123/test_predictions.jsonl
mbart-fr,baselines,TF-IDF-DIVERSE,2024,combined,1455,1.88,18.84,16.81,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/baselines/TF-IDF-DIVERSE/seed2024/test_predictions.jsonl
mbart-fr,baselines,TF-IDF-DIVERSE,2024,structured,455,3.3,21.58,19.14,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/baselines/TF-IDF-DIVERSE/seed2024/test_predictions.jsonl
mbart-fr,baselines,TF-IDF-DIVERSE,2024,tatoeba,1000,1.44,18.1,16.18,multi,0,experiments/results/rebuttal_repaired_20260502/mbart-fr/baselines/TF-IDF-DIVERSE/seed2024/test_predictions.jsonl
mbart-fr,baselines,TF-IDF-DIVERSE,42,combined,1455,1.49,19.32,17.33,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/baselines/TF-IDF-DIVERSE/seed42/test_predictions.jsonl
mbart-fr,baselines,TF-IDF-DIVERSE,42,structured,455,2.47,23.55,20.77,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/baselines/TF-IDF-DIVERSE/seed42/test_predictions.jsonl
mbart-fr,baselines,TF-IDF-DIVERSE,42,tatoeba,1000,1.15,18.16,16.38,multi,0,experiments/results/rebuttal_repaired_20260502/mbart-fr/baselines/TF-IDF-DIVERSE/seed42/test_predictions.jsonl
mbart-fr,baselines,TF-IDF-DIVERSE,456,combined,1455,1.34,19.4,17.27,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/baselines/TF-IDF-DIVERSE/seed456/test_predictions.jsonl
mbart-fr,baselines,TF-IDF-DIVERSE,456,structured,455,1.57,21.91,19.26,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/baselines/TF-IDF-DIVERSE/seed456/test_predictions.jsonl
mbart-fr,baselines,TF-IDF-DIVERSE,456,tatoeba,1000,1.24,18.72,16.72,multi,0,experiments/results/rebuttal_repaired_20260502/mbart-fr/baselines/TF-IDF-DIVERSE/seed456/test_predictions.jsonl
